,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
011noncontrolling,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
011retained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0
01210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
012amortization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
012change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012net,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
012noncontrolling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012prepayments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,0,1,2,0,0,2,1,2,0,1,0,0,0,0,1
013103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013restricted,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
014,0,0,0,0,0,1,2,2,0,0,0,3,0,1,1
014141quarterly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014may,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014revisions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
014sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014taxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014the,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015,1,0,0,4,4,3,2,0,3,0,0,1,0,4,4
01514natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015amortization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015diluted63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
015diluted97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015impairment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
015year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016,6,0,5,0,0,0,0,3,0,4,0,1,0,2,0
0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017,3,1,1,0,0,0,4,0,0,1,0,1,0,0,0
0173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017_____________________________________________________________________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
018,2,0,0,1,1,0,3,1,0,1,0,0,0,0,1
0181657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0182018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0182021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01875,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
018adjusted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018change,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
018depletion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018increase,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
018net,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
018the,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019,0,0,4,0,6,2,1,0,0,1,0,0,0,1,1
0192020414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019accumulated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
019basic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019diluted97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019ending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019natural,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
019ngl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019see,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019unproved,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
01_____________________________________________________________________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01_______________________________________________________________________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01blended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01consent,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01diluted,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01gathering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01granted583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01january,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
01midstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01natural,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01restated,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01rule,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01separation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01stack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01the,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01third,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01vested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,6,1,5,2,3,5,0,70,9,15,0,10,0,7,3
020,2,0,2,0,0,1,6,9,1,2,0,0,0,0,0
0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020accumulated,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
020cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020offsetting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020total,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
021,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
02158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0
022016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022202067,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0222022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
022depreciation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
022e,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
022future,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
022international,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
022nd,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
022net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022operating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022stockholders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023,3,0,5,0,3,1,1,1,0,1,0,3,0,0,1
02319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023operating,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
023stockholders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023write,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024,1,0,0,2,0,1,1,0,2,4,0,0,0,0,0
0243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
024_____________________________________________________________________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024texas304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025,1,2,3,1,0,0,3,2,1,3,0,1,0,2,0
0252015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0257⅛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025cash,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
025comprehensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025improved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025income,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
025net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025operating,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
025other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025premiums,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
025the,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026,1,0,0,4,1,0,0,2,9,1,0,1,0,1,2
02686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026asset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026less,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
026net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027,0,1,1,2,1,1,0,2,2,0,0,0,0,1,1
0272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
